mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio
2.48024314,1,1.0,6,0.499982168,29,0.209691453,5,0.81088542,56,0.0434079076,158.060315,60,120,0.8617390863330333
2.53733669,1,1.0,6,0.499975397,83,0.0592870989,51,0.0134405835,50,0.0196925406,275.570854,90,120,0.44643015633518873
2.47191203,1,1.0,6,0.499975397,51,0.0364815839,50,0.0256003028,29,0.139792681,194.248209,30,120,0.9488027615412901
3.19051058,1,1.0,6,0.499982168,74,0.0324243021,51,0.181449982,-1,-1,298.669997,30,120,0.7925911955267595
2.34519801,1,1.0,6,0.499975397,51,0.0499221675,29,0.114041397,56,0.0221292649,198.186272,90,120,0.6364858182555885
2.04977333,1,1.0,6,0.499982168,74,0.017165807,50,0.0620322223,-1,-1,185.084303,120,120,0.5052872484753198
2.42174088,1,1.0,6,0.499975397,51,0.021120917,50,0.11618599,-1,-1,220.973172,30,120,0.9576782385981819
2.40641658,1,1.0,6,0.499975397,51,0.0614426677,50,0.0748316543,-1,-1,220.705588,120,120,0.4625518264463858
3.62017884,1,1.0,6,0.499982168,83,0.0805418986,74,0.0610339805,-1,-1,392.033024,120,120,0.21582148879788002
2.04823957,1,1.0,6,0.499982168,83,0.0260083214,50,0.0177234921,29,0.0469046671,187.044466,120,120,0.55776509148081
2.6356294,1,1.0,6,0.499982168,51,0.126726972,50,0.0472626456,5,0.648708336,195.89073,30,120,0.9554102372288225
2.67989763,1,1.0,6,0.499982168,83,0.0167795622,50,0.144741852,5,0.681143753,200.942771,90,120,0.5484458405710736
2.72711948,1,1.0,6,0.499982168,51,0.175689665,5,0.291918751,56,0.0255340633,238.511637,90,120,0.5220745793657837
2.35922119,1,1.0,6,0.499982168,74,0.0228877427,5,0.356789585,56,0.145544161,238.098636,60,120,0.7200595290925459
2.10223728,1,1.0,6,0.499982168,74,0.0200267748,29,0.107604824,-1,-1,164.975337,30,120,0.9244110487010105
3.32271538,1,1.0,6,0.499982168,83,0.098999417,51,0.0316817429,50,0.0295391535,367.741595,120,120,0.2524898882957816
2.56648575,1,1.0,6,0.499982168,51,0.103685704,56,0.112349878,-1,-1,281.074847,60,120,0.67119210336127
3.01943558,1,1.0,6,0.499982168,29,0.36971914,5,0.227047918,56,0.015320438,196.716465,30,120,0.9653729602251836
3.28738302,1,1.0,6,0.499982168,83,0.083897811,51,0.0345619014,50,0.0531704763,352.891043,60,120,0.4772185522828995
1.83905305,1,1.0,6,0.499982168,83,0.0234913871,51,0.0201611091,5,0.291918751,143.622544,90,120,0.7425382596457417
1.79238347,1,1.0,6,0.499982168,51,0.0504027728,5,0.178394792,56,0.0178738443,144.834074,90,120,0.7802130748456302
2.03878801,1,1.0,6,0.499982168,83,0.015101606,74,0.0114438713,51,0.0432023767,194.583673,60,120,0.7237983238027615
2.0759824,1,1.0,6,0.499982168,74,0.0104902154,29,0.135195805,-1,-1,155.551228,120,120,0.7472803002447096
2.70616264,1,1.0,6,0.499975397,74,0.0648478522,51,0.0192008336,50,0.0177232866,260.060926,120,120,0.3446537929985165
1.73286489,1,1.0,6,0.499982168,51,0.0158408715,56,0.062558455,-1,-1,173.328353,60,120,0.8965721639680991
2.56465419,1,1.0,6,0.499975397,83,0.0190166166,74,0.0292451098,51,0.0576025009,254.779166,60,120,0.5922494896600693
1.90806669,1,1.0,6,0.499982168,83,0.0310421901,51,0.0158408715,5,0.194612501,164.508665,60,120,0.8090742243467016
2.05990896,1,1.0,6,0.499982168,83,0.0243303652,29,0.0855320399,-1,-1,177.44816,120,120,0.5864170333083976
3.38997297,1,1.0,6,0.499982168,83,0.0889316797,29,0.148991295,-1,-1,321.321383,90,120,0.41017224765116844
2.29755693,1,1.0,6,0.499975397,50,0.106339719,56,0.0272360183,-1,-1,220.494502,60,120,0.7406094282924851
1.88845748,1,1.0,6,0.499982168,29,0.126918511,5,0.227047918,-1,-1,121.407656,120,120,0.8847757040155195
3.11072912,1,1.0,6,0.499982168,51,0.0345619014,50,0.200866244,-1,-1,282.743883,90,120,0.4532325755366494
