mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,thickness,spc_1000,spc_2000,spc_3000,spc_4000,spc_5000,spc_6000,spc_7000,spc_8000,spc_9000,spc_10000,spc_11000,spc_12000,spc_13000,spc_14000,spc_15000,spc_16000,spc_17000,spc_18000,spc_19000,spc_20000,spc_21000,spc_22000,spc_23000,spc_24000,spc_25000,spc_26000,spc_27000,spc_28000,spc_29000,spc_30000,spc_31000,spc_32000,spc_33000,spc_34000,spc_35000,spc_36000,spc_37000,spc_38000,spc_39000,spc_40000,spc_41000,spc_42000,spc_43000,spc_44000,spc_45000,spc_46000,spc_47000,spc_48000,spc_49000,spc_50000,spc_51000,spc_52000,spc_53000,spc_54000,spc_55000,spc_56000,spc_57000,spc_58000,spc_59000,spc_60000,spc_61000,spc_62000,spc_63000,spc_64000,spc_65000,spc_66000,spc_67000,spc_68000,spc_69000,spc_70000,spc_71000,spc_72000,spc_73000,spc_74000,spc_75000,spc_76000,spc_77000,spc_78000,spc_79000,spc_80000,spc_81000,spc_82000,spc_83000,spc_84000,spc_85000,spc_86000,spc_87000,spc_88000,spc_89000,spc_90000,spc_91000,spc_92000,spc_93000,spc_94000,spc_95000,spc_96000,spc_97000,spc_98000,spc_99000,spc_100000,spc_101000,spc_102000,spc_103000,spc_104000,spc_105000,spc_106000,spc_107000,spc_108000,spc_109000,spc_110000,spc_111000,spc_112000,spc_113000,spc_114000,spc_115000,spc_116000,spc_117000,spc_118000,spc_119000,spc_120000,energy_ratio,sigma
2.48024314,1,1.0,6,0.499982168,29,0.209691453,5,0.81088542,56,0.0434079076,158.060315,60,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.8617390863330333,0.011
2.53733669,1,1.0,6,0.499975397,83,0.0592870989,51,0.0134405835,50,0.0196925406,275.570854,90,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.44643015633518873,0.016
2.47191203,1,1.0,6,0.499975397,51,0.0364815839,50,0.0256003028,29,0.139792681,194.248209,30,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.9488027615412901,0.012
3.19051058,1,1.0,6,0.499982168,74,0.0324243021,51,0.181449982,-1,-1,298.669997,30,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.7925911955267595,0.022
2.34519801,1,1.0,6,0.499975397,51,0.0499221675,29,0.114041397,56,0.0221292649,198.186272,90,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.6364858182555885,0.02
2.04977333,1,1.0,6,0.499982168,74,0.017165807,50,0.0620322223,-1,-1,185.084303,120,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.5052872484753198,0.017
2.42174088,1,1.0,6,0.499975397,51,0.021120917,50,0.11618599,-1,-1,220.973172,30,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.9576782385981819,0.016
2.40641658,1,1.0,6,0.499975397,51,0.0614426677,50,0.0748316543,-1,-1,220.705588,120,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.4625518264463858,0.017
3.62017884,1,1.0,6,0.499982168,83,0.0805418986,74,0.0610339805,-1,-1,392.033024,120,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.21582148879788002,0.013
2.04823957,1,1.0,6,0.499982168,83,0.0260083214,50,0.0177234921,29,0.0469046671,187.044466,120,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.898493075,-0.897414894,-0.896336713,-0.890945808,-0.882320361,-0.865069467,-0.837036763,-0.797144069,-0.741078662,-0.669918722,-0.58366425,-0.483393425,-0.37018443,-0.249428168,-0.127593726,-0.00575928302,0.11607516,0.234675059,0.347884055,0.454623965,0.553816608,0.645461985,0.727403734,0.800720036,0.857863624,0.905303584,0.945196278,0.977541705,1.00233987,1.02066894,1.03360711,1.0400762,1.04223256,1.0400762,1.03037257,1.01635622,0.999105323,0.979698067,0.958134449,0.93549265,0.910694489,0.884818147,3.98566644,6.45038799,0.798563674,0.766218247,0.73387282,0.701527393,0.668103784,0.635758357,0.602334749,2.75977475,0.536565714,0.774843694,0.150576949,0.138716959,0.125778788,0.112840617,0.0977460841,0.0826515514,0.0675570187,0.0513843051,0.0341334106,0.016882516,-0.00144655938,-0.0208538157,-0.0402610721,-0.0607465093,-0.0801537657,-0.100639203,-0.122202821,-0.142688258,-0.164251876,-0.185815495,-0.208457294,-0.230020912,-0.252662711,-0.27530451,-0.297946309,-0.320588108,-0.343229907,-0.366949887,-0.389591686,-0.413311666,-0.435953465,-0.459673445,-0.483393425,-0.507113405,-0.530833385,-0.553475184,-0.577195164,-0.600915144,-0.624635124,-0.647276923,-0.670996903,-0.693638702,-0.717358682,-0.740000481,-0.763720461,-0.78636226,-0.809004059,-0.831645858,-0.854287657,-0.875851276,0.55776509148081,0.019
